,final_review_text,final_rating,sentiment,clean_review
0,"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4.0,1.0,nice product good quality price rising bad sign affordable price especially play everyday kindly help u term price thank youread
1,They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1.0,0.0,didnt supplied yonex mavis outside cover yonex ad inside cheapest sad hear thisread
2,Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1.0,0.0,worst product damaged shuttlecock packed new box original yonex product dont buyflipkart platform chosen fraud buyersread
4,Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1.0,0.0,pricedjust retaileri didnt understand wat advantage buying dis frm flipkrtread
5,Good quality product. Delivered on time.READ MORE,5.0,1.0,good quality product delivered timeread
6,BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5.0,1.0,best purchase good quality durable average shuttle shipping goodread
7,Good quality original shuttles.READ MORE,5.0,1.0,good quality original shuttlesread
8,AwesomeREAD MORE,5.0,1.0,awesomeread
9,nice original productsREAD MORE,5.0,1.0,nice original productsread
10,This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5.0,1.0,green cap shuttlecock really awesome quality best good packingthis green cap shuttlecock played warm conditionsworth money simply loved itread
11,Best in class....READ MORE,5.0,1.0,best classread
12,it's genuine and price is less than our near by shopREAD MORE,5.0,1.0,genuine price less near shopread
13,"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1.0,0.0,second time getting opened bundle yonex mavis shuttle really believe original product someone may switched shuttle inside bundle dont buy flipkart gonna return productread
14,really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5.0,1.0,really satisfied quality prompt deliveryhappy customer flipkart read
15,NycREAD MORE,5.0,1.0,nycread
16,I usually buy them the same model but this did not last even for a dayREAD MORE,1.0,0.0,usually buy model last even dayread
17,"Poor quality, not originalREAD MORE",2.0,0.0,poor quality originalread
18,Delivered on expected timeREAD MORE,5.0,1.0,delivered expected timeread
19,nice and original productREAD MORE,5.0,1.0,nice original productread
20,Very nice and Good price compare then local sports.READ MORE,5.0,1.0,nice good price compare local sportsread
